,cnpj,inscrição estadual - cce ,nome empresarial,contribuinte?,atividade econômica,situação cadastral vigente,data desta situação cadastral,data de cadastramento,inscrição estadual,contribuinte
69,8781398000152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,477319000102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,4178490000171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,65671224000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,7044419000194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,3866077000137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,37986213000144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,9112999000135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,30759534000167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,44218154000120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,30480743000177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,92195650000158,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,43175454000106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,2459530000128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,4949179000189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,4020896000121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,974646000170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,10284188000109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,86499399000112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,2035992000118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,5090494000166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,3770961000173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
